age,hh_fthr_frm,hh_size96,hh_land,landrich,hh_cattle,hh_stock,hh_plow_any,fthr_ed0,fthr_ed,mthr_ed0,mthr_ed,no_fthr96,no_mthr96,orphan96,abd,vote05
19,1,10,3,0,0,7,0,0,4,1,0,1,0,0,1,0
19,1,11,12.35000038,0,25,45,1,1,0,1,0,0,0,0,1,0
15,1,6,20,0,0,0,0,0,12,1,0,0,0,0,0,NA
16,1,8,7.414730549,0,0,27,0,0,4,0,4,0,0,0,0,NA
14,1,6,19.76000023,0,30,42,1,0,7,0,4,1,0,0,0,NA
15,1,7,6,0,5,40,1,0,4,0,4,0,0,0,0,NA
25,1,10,20,0,0,0,1,0,4,1,0,0,0,0,0,1
15,1,13,8,0,15,20,1,0,7,0,4,1,0,0,1,NA
17,1,8,50,1,0,20,1,0,10,1,0,0,0,0,1,NA
18,1,9,29.63999939,0,3,8,1,0,7,1,0,0,0,0,0,0
19,1,9,29.63999939,0,3,8,1,0,7,1,0,0,0,0,1,0
27,1,13,10,0,0,0,0,0,7,0,4,1,0,0,1,0
14,1,13,18,0,400,26,1,0,4,0,4,0,0,0,1,NA
25,1,12,2.470000029,0,26,25,1,0,10,1,0,0,0,0,1,0
20,1,20,20,0,15,18,1,1,0,0,7,1,1,1,1,1
20,1,9,30,0,4,5,0,0,4,1,0,0,0,0,1,1
15,1,7,30,0,0,0,0,0,4,1,0,0,0,0,1,NA
20,1,5,12.35000038,0,0,0,0,0,7,1,0,0,0,0,1,NA
30,1,8,5,0,0,11,0,1,0,1,0,1,1,1,1,1
21,1,15,40,0,20,24,1,0,10,0,4,1,0,0,0,1
23,1,15,40,0,20,24,1,0,4,1,0,1,0,0,0,0
18,1,11,8,0,0,0,0,0,4,0,4,0,0,0,1,0
21,1,9,5,0,0,0,0,0,4,1,0,1,0,0,0,0
26,1,4,3,0,0,0,0,1,0,1,0,0,1,0,1,1
30,0,2,100,1,0,5,1,0,4,1,0,0,0,0,1,1
26,0,10,3,0,0,6,0,0,10,0,7,1,0,0,1,1
26,1,8,3,0,0,0,0,0,10,1,0,0,0,0,0,1
30,1,6,24.70000076,0,2,5,0,0,4,1,0,1,0,0,1,1
18,1,6,50,1,0,0,0,0,4,1,0,0,0,0,1,0
23,0,4,22.22999954,0,0,3,0,0,7,1,0,1,0,0,0,1
14,1,4,3,0,0,0,0,0,10,1,0,0,0,0,1,NA
15,1,6,49.40000153,0,0,0,0,0,4,0,4,0,0,0,1,NA
30,1,14,25,0,2,5,0,1,0,1,0,0,0,0,1,0
30,1,7,29.63999939,0,0,0,0,1,0,1,0,1,0,0,1,1
30,1,8,2.224419117,0,0,0,0,0,7,1,0,1,0,0,1,1
18,1,3,6,0,46,35,1,1,0,1,0,0,0,0,0,0
14,1,3,2,0,0,0,0,0,12,0,4,0,0,0,1,NA
30,1,5,2,0,0,0,0,1,0,0,4,1,0,0,1,1
20,1,9,0.035590708,0,10,14,1,0,7,1,0,0,0,0,1,1
20,1,4,4.940000057,0,0,0,1,0,10,1,0,0,0,0,1,0
27,1,10,10,0,0,23,0,0,4,1,0,1,1,1,1,1
29,1,8,8,0,0,8,0,1,0,1,0,1,0,0,1,1
25,1,14,28,0,0,0,0,0,4,1,0,1,0,0,1,0
20,1,7,26,0,200,60,1,0,4,0,4,0,0,0,1,0
18,1,4,100,1,50,10,1,0,7,1,0,0,0,0,1,0
15,1,4,100,1,50,10,1,1,0,1,0,0,0,0,1,NA
24,1,2,100,1,0,0,0,0,4,1,0,0,0,0,1,1
15,1,6,11.86356926,0,0,0,0,1,0,1,0,0,0,0,1,NA
17,1,6,2.224419117,0,0,0,0,1,0,0,4,1,1,1,1,0
20,1,7,15,0,0,0,0,1,0,1,0,0,0,0,1,1
14,1,4,10,0,0,40,0,0,12,1,0,0,0,0,1,NA
18,0,6,50,1,300,60,1,0,10,1,0,1,0,0,1,0
23,0,15,8,0,0,19,1,0,4,1,0,1,0,0,1,0
16,0,15,8,0,0,19,1,1,0,0,4,0,0,0,1,NA
18,1,6,8,0,0,12,0,1,0,1,0,0,0,0,1,1
18,1,5,20,0,4,10,0,0,4,1,0,0,0,0,1,0
17,1,6,99,1,0,0,0,0,7,0,4,0,1,0,1,1
20,1,5,30,0,0,21,1,0,7,1,0,0,0,0,1,NA
15,0,4,10,0,0,0,0,0,4,1,0,0,0,0,1,NA
15,1,8,30,0,0,0,0,0,12,1,0,0,0,0,1,NA
25,1,4,7,0,0,0,0,0,10,1,0,0,0,0,1,1
25,1,5,16,0,0,0,0,0,7,0,4,0,0,0,1,1
